"Alert";"Action";"SourceName";"AutoName";"SourceFreq";"AutoFreq";"DictName"
NA;"KEEP";"";"";3;NA;"UNKNOWN"
"GOOD";"KEEP";"ACURA";"ACURA";3;3;"ACURA"
"ALERT";"KEEP";"ALFA";"ALFA";1;1;"ALFA ROMEO"
"GOOD";"KEEP";"AUDI";"AUDI";238;238;"AUDI"
"GOOD";"KEEP";"AZLK";"AZLK";6;6;"AZLK"
"GOOD";"KEEP";"BMW";"BMW";127;127;"BMW"
"ALERT";"KEEP";"BUICK";"BUICK";1;1;"BUICK"
"GOOD";"KEEP";"BYD";"BYD";11;11;"BYD"
"GOOD";"KEEP";"CADILLAC";"CADILLAC";6;6;"CADILLAC"
"ALERT";"KEEP";"CEAT";"CEAT";1;1;"SEAT"
"GOOD";"KEEP";"CHERY";"CHERY";82;82;"CHERY"
"GOOD";"CHANGE";"CHERY-";"CHERY";1;82;"CHERY"
"GOOD";"KEEP";"CHEVROLET";"CHEVROLET";4656;4656;"CHEVROLET"
"GOOD";"CHANGE";"CHRASLER";"CHRYSLER";1;57;"CHRYSLER"
"GOOD";"CHANGE";"CHRAYSLER";"CHRYSLER";1;57;"CHRYSLER"
"GOOD";"CHANGE";"CHRUSLER";"CHRYSLER";1;57;"CHRYSLER"
"GOOD";"CHANGE";"CHRVROLET";"CHEVROLET";1;4656;"CHEVROLET"
"GOOD";"KEEP";"CHRYSLER";"CHRYSLER";57;57;"CHRYSLER"
"GOOD";"KEEP";"CITROEN";"CITROEN";317;317;"CITROEN"
"ALERT";"KEEP";"CVEVROLET";"CVEVROLET";1;1;"CHEVROLET"
"GOOD";"CHANGE";"CYEVROLET";"CHEVROLET";1;4656;"CHEVROLET"
"GOOD";"CHANGE";"DAAEWOO";"DAEWOO";1;768;"DAEWOO"
"GOOD";"KEEP";"DACIA";"DACIA";19;19;"DACIA"
"GOOD";"KEEP";"DAEWOO";"DAEWOO";768;768;"DAEWOO"
"GOOD";"KEEP";"DAIHATSU";"DAIHATSU";4;4;"DAIHATSU"
"ALERT";"KEEP";"DAIMLER";"DAIMLER";1;1;"DAIMLER"
"GOOD";"KEEP";"DODGE";"DODGE";81;81;"DODGE"
"GOOD";"KEEP";"DONINVEST";"DONINVEST";2;2;"DONINVEST"
"GOOD";"KEEP";"FAW";"FAW";17;17;"FAW"
"GOOD";"KEEP";"FIAT";"FIAT";125;125;"FIAT"
"GOOD";"KEEP";"FORD";"FORD";5800;5800;"FORD"
"GOOD";"KEEP";"GAZ";"GAZ";262;262;"GAZ"
"GOOD";"CHANGE";"GEELI";"GEELY";1;268;"GEELY"
"GOOD";"KEEP";"GEELY";"GEELY";268;268;"GEELY"
"GOOD";"KEEP";"GREAT";"GREAT";37;37;"GREAT WALL"
"ALERT";"KEEP";"HAFEI";"HAFEI";1;1;"HAFEI"
"ALERT";"KEEP";"HAIMA";"HAIMA";1;1;"HAIMA"
